essay_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score,comments
12991,5,"In this memoir from Home: The Blueprints of Our Lives, written by Narciso Rodriguez, Narciso talks about how his family made his house a home. The mood he sets throughout the memoir is love, selflessness, and gratefullnes. This memoir shows love because of paragraph @NUM1, Rodriguez reminisces, ""countless extended family members came and went--and there was often someone staying with us temporarily until they were able to get back on their feet. My parents always kept their door open to the many people we considered family, knowing they would do the same for us."" This shows love because even if they weren't blood related, they still consider themselves family and cared for each other beyond belief. This memoir also has the mood of selflessness because Rodriguez says that they moved selflessly, to give their children a better life, even though it meant leaving behind their families, friends, and careers in the country they loved and ended up facing many hardships to their new country. The last mood shown in this memoir is gratefullness. Narciso Rodriguez is grateful for his cooking abilities, his love for cuban music and for his parents love and sacrifice. Especially he is grateful for how his parents turned his simple house into a home.",4,3,4,"ID2,ORG2,STY2"
10282,4,I thank he uses it because she wants to get a nother one next year to see what its like to like something so much and get to look after it for a wial That is why I think the nararator use that phrase as his last one.,0,0,0,"ID3,ORG3,STY3"
9898,4,"I think the author concludes the story with this paragraph because new beginnings.What I mean by this is,the hibiscus represents new beginnings.She says �When the hibiscus is budding ,then I will take the test again �.This will be a new start for her  .The plant  blooming makes her happy and reminds her of her grandmother.She�s saying by the time the spring comes around she  would be ready for a  new obstacle as so for the hibiscus plant.",2,2,2,"ID2,ORG3,STY3"
3341,2,"Libraries should have whatever they want in the library. Everyone has their on thoughts on things. If you don't like what they have on there shelfs then don't go there any more or pick up something you like. Everyone is different so you can't just take offensive stuff off the shelves, it might be offensive to one person, but not to someone else.      Materials, such as book, music, movies, magazines you can't just start taking stuff of the shelves just because there offensived you. The only way I would say take books or magazines off the shelves is if the facts are not right.       Libraries hold almost anything anybody needs materials, books, music, movies, magazines and everythings for facts. So don't start taking stuff off your shelves. Teenagers might have to write a paper about something that people think is affensive, if you don't have everything in the library then we won't have good facts. No one in this world agrees on anything, all you would be doing would be picking a fight if you taking of offensive.Libraries are open to any one that wants to read about almost anything they want to read about.       Music everybody has there on type of music you can't just start taking music of because you think it's offensive. Most people have there own type of everything.     Children is there own person you can keep them from whatever you want to, the thing is you can't hold them back in life. They get older you won't be able to tell them want to do or want not to do. If you keep them from a book or etc they might end up reading it in the long run. Keep you kids safe is inpormant I understand your kids are going to expirects things you don't want them to. Just by taking offensive stuff of the shelves doesn't mean your kids won't fine them some where else.      I could understand if the books or magazines were offensive to you because it was about your family, But of time your going to have offensive come up in your life. That means your going to have to not let it get under you skin or get over it.      Things get under people skin to easy. This is why the world don't get along. If you don't like something don't me around it. Fine something unless to read about. Thats what I do if I don't like something.",3,3,3,"ID2,ORG2,STY3"
29,1,"Dear local newspaper, @CAPS1 people throughout the world use, or own computers. Although there are @CAPS1 people who think computers are good for you, others could say different. While you are on the computer you can become more socal by talking with friends or family. Also, while you are on the computer you @MONTH1 not notice it but; your hand-eye coordination is improving, and finally, you are able to search with a click of a button, instead of searching your topic through dozens of books. Computers have very @CAPS1 benefits. One being chating, or talking online to friends, and family. You @MONTH1 have a distant friend that you haven't talked to in a while. With a computre you are able to re connect with your buddy. If you have an acount that is safe to chat on, you @MONTH1 be able to make new friends. That would be good for you, socally. It is always good to have friends, and stay in touch with family. Some people find it hard to play a piano because they cannot look at the music and have their hands be doing something else. On a computre your hand-eye-coordination improves over time because, you are searching a topic as your hands are typing. Also, this is a great memory excirsise for your fingers. You eventually memorize where all of the keys are located. People without computres have to search through @CAPS1 books to find information on their topic. Others with computers, just have to type in their topic and all the information they need is right infront of them. You are able to see pictures of your topic or even video's! Not @CAPS1 books that I know, can search a topic, show you pictures, and videos of it with one resource! @CAPS1 people debate the fact if computres are good for you or not. If you ask me, computres are great for people. It allows people to be socal, and talk to old friends; it also improves your hand-eye coordination, and finally; it gives you the option to search a topic without all the hastle of searching through dozens of books. So now the question is up to you; are computers good for people, or not?",5,4,9,"ID1,ORG1,STY2"
19413,7,"I am in the @LOCATION3 @CAPS1 sea cadet corps .When I packed my things in the truck I had wait in a @NUM1 hour car ride till I get to my training in port @LOCATION2. We were driving in a truck that fit five people we were fitting @NUM2 people in it, I was the one stuck in the back with all the gour. Some ones sea bag had a boat in it that was stabling in my back I tried so hard not to complain about it, it took all my patience to last half the way there till I had to move the boot in my bay I grabbed the bag that had the boot in it and there wit to the other side. When  I thought all was well @CAPS2 and @LOCATION1 started sighing at very annoying song I didn�t  think my patient could handle staying in that torch with their sighing .Finally we were at port @LOCATION2. @CAPS2 and @LOCATION1 stop sighing and my patience had held through. But then there was the cheat in line their were @NUM3 people in @CAPS3 at me waiting to check I�d had a feeling my patience was gonna blow up and I�d go crazy. But it didn�t I stayed there patiently until it was any turn to check in, sadly the officer at the check in desk was old and talked very slown it was so hard understanding what he was saying. I finally was checked in my patience had survived!!Then I found out my friend logon was banked up gave me. Which he can be very annoying.� @CAPS4 boy I thought,� here comes another test ror my patiences. My patience was tested through the as ride, the clean in line, and also through that whole training. But my patience was very strong and survived!!!",11,11,22,"ID1,ORG1,STY2"
19101,7,"I was patient when I went to cediar point. I had to wait in line along tine for ??? for priencse ther was a lot of people @CAPS1 the longest word ??? drogster. I had almost anhour for a ride that @NUM1, teen  ??? that is the ???.",5,6,11,"ID3,ORG2,STY3"
6793,3,The features of the setting affects the cyclist because the old guys had worn the next town was only eighteen miles down the road. So the features affect reading the story �Do not exceed Posted Speed Limit� was very dangerous and unsafe for people to ride on.,1,1,1,"ID3,ORG3,STY3"
15268,6,The problems that the Building had to face the could not unsolve the problem of mooring air ships to fixed mast at such a height made it desirable to postpone to a later date the installation of the landing gear.,0,0,0,"ID3,ORG3,STY3"
18466,7,I remember the time when my there older sister was so patient fo her birthday on the �fourth of @DATE2� man she was patient every time I ask her can you what until your birthday she said yes I can what until my birthday I can�t what untill my birthday because it is in �@DATE1� untill �fourth of @DATE2� she was so happy I just can�t believe that she wated for her birthday she went to her freinds house did some shoping of her own and fire works was in the air my sister well that is how my sister was patient.,5,7,12,"ID2,ORG2,STY3"
479,1,"Dear @ORGANIZATION1, Some people are debating whether advances in technology, such as computers, are benefitial to our daily life. I think that computers are a good addition to life for a few reasons. For one, information and knowledge are at your fingertips. It takes merely seconds to know anything you want or need to. Email, @CAPS2, @CAPS1, etc. can be labeled as wasteful or dangerous. New friends can be made everyday. Lastly, there can be limits set so no more worrying about to much time spent on the computers. One of the reasons computers can be benefitial to our daily life is what it can give us. Knowledge is just seconds away. Anything you might be interested in learning is all on the web. Homework, school projects, and even work need information that isn't found anywhere else. The library is a great place to find what you're looking for, but if you're in a hurry and need what you're looking for quick, there is the online encyclopedia, world book, etc.Technology is becoming a huge part of our life today, many opinions are up in the air about it. If, there's one thing everyone can agree on, it's fast and can make daily tasks easier. Ordering clothes, books, movies, tickets for trips and more all can be done online. That's not all the computer has to offer. Friends/family are a necessary part of life, but they're not always living right around the corner. They @MONTH1 live on the other side of the state, country, even world! @CAPS2, @CAPS1, email, etc. can allow you to connect with anybody around the world at anytime. E-mail has been around longer than other websites like @CAPS2 and myspce which allow you to keep daily tabs on them. @CAPS1 or ichat allows you to instantely talk to anybody that you want. These websites can't replace being together in person, but it can help keep in touch for the meanwhile. Some are worried about spending too much time face to face with the screen, there is even something to prevent that. Time spent inside on the computer is becoming a problem. Not enough exersise or time spent outside can be unhealthy. Time limits can fix this problem. A certain amount of time can be plugged in. When there's @NUM1 minutes left, it gives you a warning. That way more time can be spent outside in the open, and less inside staring at the screen all day. Many different opinions about whether computers belong in our life have been shared. I believe they're a beneficial part of our life. They allow you information at the touch of your fingers, access to friends/family, plus there's time limits. In this day/age, the computer is something we can't live without.",5,5,10,"ID1,ORG1,STY1"
9225,4,"The author concludes the story with the paragraph because the story was about her getting accustomed to things being repeated in nature, so she added the last paragraph saying that when everything happens again she will do the same. That is why the author concludes the story with the paragraph.",1,1,1,"ID3,ORG3,STY3"
18702,7,"It was blistering hot, it had already been an hour in line, �when can we go?� I asked in a moining voice. My parents replied �just be patient were almost at the front.� @CAPS1, that ??? I what I did. My body ??? aching from walking around all day, but that wasen�t going to stop me from all these rides. Ten more minutes had passed and I began to get thirsty. My @CAPS3 and sister want to go get a drink with me while my mum held our s??t in line. We made it to the booth. �I�ll take water� I said, ??? realived. I said thankyou, as I grabbed the ice cold water from his hands. As we all started walking back towards the line, I spotted a bright colorful shirt that said, �@CAPS2. I couldn�t help but ask, �@CAPS3 can I please get this shirt?� we still have to wait a little bit longer in the if we go back. �@CAPS4 he responded but let�s hurry up @CAPS1 your mom dosen�t get impatient. After I got the shirt we walked back in the line. Thank goodness we were the second ones up. All aboard the mummy ride.� The person controlling the ride explained. We walked on, being patient payed off, because I had a feeling this ride was going to be a blast.",12,11,23,"ID1,ORG1,STY2"
1713,1,"Dear @CAPS1, @CAPS2 you think people should stop going on the computer? Well, yes because they are not getting exercise. People's body start to get lazy and don't want to get up. They are not spending time with the family instead they would like to spend their free time on the @CAPS3. This is my people should stop being lazy and have some fresh air. @CAPS2 you people who spend time on the computer interact with their family? Well, no, because they think they will get entertain by technology instead of their family. The reason I don't like compter so much because you get hook on so fast you can't stop. When you interact will family you get to know them better and that is priceless. This is why it should stop because it damage peoples minds. Another reasons I would like you to hear is less time exercising. When people don't exercise you will @CAPS2 anything to their body. They start to eat too much and later they become very lazy. When you exercise you have tons of energy to @CAPS2 anything. Like bunge jump. When you excerise you look healthy and people will notive. This why excerise is the best healthy and always fit. In addition, my third reason I would like you to read is enjoying nature. Enjoying nature you can have a good time and relax. You can swim in the beach, feel the amazing breeze, and have a good time. When you are on the computer you are sitting down instead going outside and that because a habit. It will be hurting are environment because people don't want to get up to enjoy nature. This is why it should not be tollerated because people are being lazy. In conclusion, the reason why people should not spend their life on computer because they think they will be entertain by technology instead of interacting will their family. People will start eating too much and so they will become lazy. People will never leave the house and instead they are on their computer. This is why it should stop it hurting are environment people are becoming lazy.",4,4,8,"ID2,ORG1,STY2"
18218,7,"One time when I was patient was when the shot flew was going around. I had to go to this one place to get the flew shots. When we got there we got in line, I had to be patient because the line was really long is??? the line to get through. We brought chairs, hot coce and staff to do to keep us any feet. I had to be patient in tell I got on to the front of the line. The worse part was that most of the tide was outside and it was @CAPS1 eve, so I had to be patient in the cold, when we finally got inside the building I was so happy. Then about @DATE1 we got to the front of the line. I�m glad that I never have to wait in line for three hours to get a flew shot again.",8,8,16,"ID2,ORG2,STY2"
9437,4,"Saeng was taking a test and she didn�t quite pass it She was afraid to tell to her mother but she has to tell her anyway. Her mother got upset because she didn�t pass it. Saeng knows  that right after winter's over, She�ll be taking that same test again and she hoped she will pass it this time.",1,1,1,"ID3,ORG3,STY3"
12015,5,"The memoir ""Narciso Rodriguez"" creates a very warm peaceful and interesting mood. The way the author described the way she used to live looks like she lived a very loving and peaceful enviroment. She also creates a spanish theme to it which I could relate to. For example in paragraph @NUM1 she says she is very passionate for Cuban music and she's grateful she know how to cook. She also said in paragraph @NUM2 she will never forget how her parents turned a simple house into a home. That quote makes the mood of the memoir loving.",2,2,2,"ID3,ORG2,STY2"
1289,1,"The effect people shouldn't be on the computers that much because you need exercising to keep you healthy. You wouldn't be learn anything if you play games on it all day. Your brain will be fousing on the computers than school. You would be a bored kid or adult if you keep doing this. It will be sad if you throw your life away just because of a computers. The effect on people on the computer by not knowing technology is some people think that technology is dumb because you have a brain instead of a computers have information in your brain if you are smart. Some people are poor and never had a computer or never heard technology and country some of them don't even have technology or electrion because they can't afford for a computers. The effect that they don't know technology is they can find location and no cellphone you can call your friend go online and listen to music, play games chat to friend and family. Play games with each other. And watch movies. Another effect is learning about computers and how to use it step one turn it on. Click on intert explorer and search on a website to go on it's kind of hard to use the keyboard and typing it fast. The last effect is talking to people that you don't know form online. Is playing the game with a diffrent player you can chat with that person. Conulison this is all my reason why I agree with the effect of a computer have postive reason for a lot of people. This is why I agree with the effect of the computer.",4,3,7,"ID2,ORG2,STY2"
3405,2,"We see them. We read them. We gossip about them. Books that are found with inapropriate language, pages with the word 'sex' on them, disturbing thoughts and ideas, cuss words, its all there, but yet they are still in our libraries. My views on censorship is that, yes, our libraries should be more modest and not have books on the shelves with these things in them. The  books in libraries across the @LOCATION1 that have found and profane ideas in them, is one of the direct faults in our teenagers today.     In my personal experience with this, i have come across books that have had inapropriate language in them. I have also read books assigned to me at school that have had descriptions of sex and bad language in them as a third grader. As a young boy, I would go home to my parents and show them the content of the book and how despiteful it was. I've always been raised in a @CAPS1 home and seeing these things not only in schools, but on the bookshelves in libraries I believe is un-called for. I know that there are so many things that could offend people. Rascism, sex, cussing, rules, religion, but you need to eliminate the main things. It is impossible to please everyone. These ideas in magazines, books, in movies, and even in music has changed the world upside down. Even when I was young, we were taught no cussing aloud, and yet you see this all the time in books.     In @LOCATION2, of course we have the freedom to do what we want. Authors have the right to put profane language in their books, and even dirty ideas. However, libraries are not forced to keep this content in their libraries across the globe. I believe that we should keep the future of @LOCATION2 in the back of our minds, that if we teach them this material, they are going to grow up in the world with no morals at all, and the world will become worse than it already is.      In the quote by Katherine Paterson, I believe that she has made a strong point. If we take the books off of shelves, then our students, children, grandchildren won't be taught properly, and then there would be no education at all. However, I believe that from this quote even she agrees we in @LOCATION2 fear what our children read. So yet, why do we keep these books in our libraries? I believe that if we take these certain books, magazines, movies, songs, and internet sites off the computers, and out of libraries and schools, teenagers wouldn't be traveling down the road they are.     Today, the world has turned to a disaster. The kids we saw @NUM1 years ago were on the right path. Now those same kids are smoking pot, having sex, getting girls pregnant, abortions, miscarriages, things that are not appropriate. And I truly believe that this content students read in schools and libraries across @LOCATION2 has something to do with it all. It is now in the hands of the @LOCATION3, whether our kids grow up to be the future of @LOCATION2, or the joke of @LOCATION2. We need this fixed",3,3,3,"ID3,ORG2,STY2"
9063,4,The auther cncludes the story with this paragraph because it wraps it all up and sums it into one. It is explaining that she is looking forward to the spring when the hibiscuss is,1,1,1,"ID3,ORG3,STY3"
6446,3,The hot day in June riding a bike in the desert. The cyclist rode off into the sun on his way to Yosemite National Park. The old men told him where to go on the map even though they had not been through that way in years. When the cyclist started his day off ready to go. He thought he would be able to stop and get water regulary but as he found out he was in the middle of the desert with no water around. The man pushed himself and stopped thinking about water. He even put pebbles in his mouth to suck on so he would be able to keep his mind off water. The man was very smart in this situation and knew what to do. This experence has made him stronger.,2,3,3,"ID3,ORG2,STY2"
1335,1,"Dear Local news paper @CAPS1 name is @PERSON1, I'am part of the middle community. I read or the local newspaper that lots of people use computers and that not everyone agrees that this benefits society. In @CAPS1 opinion this benefits society in many ways because you get to work anywere you want, you could connect with family, and because it gives you the ability to learn about other places and people. You can get to work anywere because now in this days a cellphone, and ipod's come's with internet and with many things that you need to work that you have in a computer. We also have the laptop's that are to take anywere. You also got many programs on a computer to connect with family on others states or city's as in @LOCATION2, @LOCATION3, @CAPS2 @CAPS3 and @LOCATION1. Last, it also gives you the abiity of learning about other places, and people by photos, information, and websites. Like when it says the trategies that had happened in other states like the one that happened in @LOCATION4. This is @CAPS1 opinion why computers are benefit for society. Thanks for reading them and have a nice day.",3,4,7,"ID2,ORG2,STY2"
19480,7,I was patient when my dog had to go the @CAPS1 he was really sick becaus he had heart worms my mom and I just whated for about two hour's I was not as patint as my mom because I keep asking my mom what was going on. After the operation was down we had to whate even longer intill we got my dog bare back almost @NUM1 hours. After the @CAPS1 called us we went and got my dog and the doctor sed that he had to water in till he could be up and moving and it was finly ok and we played in the snow all @CAPS3 long.,8,4,12,"ID2,ORG2,STY3"
4117,2,"In the library I have noticed that there are a few literature materials that are not suitable for a younger age group. Such as rated @CAPS1 movies that contain things like drug use, sexual content, and extreme violence. Not all libraries have movies, and the ones that do don't let anyone under the age of @NUM1 rent out a rated @CAPS1 movie. Another example would be magazines that have articles/advertisments and pictures that are more towards the sexual side. This is a problem with children because then they think that that's how they should look and act, when they are older.     Most libraries are divided up into different sections, there is a section for adults, teens, and children. The sections were created for a reason to show/tell people that some materials in this section @MONTH1 not be suitable for teens and children. Then if your in a childrens section you know that not many over the age of @NUM2 will be wanting to look around for books. In the childrens section a library normally makes it look bright and colorful which most children love. This helps the children stay there and not wonder off into one of the adult or teen sections.      When I was younger I didn't really care to go into the adult or teen sections cause I enjoyed reading 'The @CAPS3 in the @CAPS4', '@CAPS5 @CAPS6 @CAPS7 @CAPS8', and many other children books there. Children have a lot of things to satisfy them at the library there's children movies/shows like '@CAPS9 @PERSON1'. They also have an unlimited amout of books that can keep them entertained. If movies and books don't work for them then there are also a few toys they can play with (at least the libraries I've been to have toys).         The only real big problem with having things unapropriate in the library is that the younger teens might wander into the adult section, and sometimes there are adult things in the young adult section. Again with the movies, there are tv shows that I've seen at the library that are about teens doing drugs going to parties and getting drunk. Things like that I think put a bad influence on younger teens. Making them think it's okay to do drugs and drink, that it will make them more popular and cool.      Over all I think that libraries just need to reorganize there books, movies, and magazines. Then all the right items will be put in the right sections and there will be no accidents where someone accidently picks up something that is inapropitate for their age group. The music in the library I don't think is much of a problem. To me music is something more to express your feelings. This is my view on censorship in libraries",4,4,4,"ID2,ORG2,STY2"
7315,3,"The features of the setting greatly affect this cyclist. At first he is fine riding along the old-timers �shortcut� as he states that �things began well enough. I rode into the morning with strong legs and a smile on my face.� But what he didn�t know was this was the beginning of a very rough day. He arrived at the first �town� which was a ghost town. He wasn�t overly worried yet but at about sixty miles in on his journey he came to a ramshackle shed, several rusty pumps, and a broken down corral. The cyclist explains how he had drank a lot of his water and was in need of some. He tried the pumps but he explains how �a far like substance oozed out, followed by brackish water feeling somewhere in the neighborhood of two hundred degrees.� A couple miles later he came to a highway sign that read ROUGH ROAD AHEAD: DO NOT EXCEED POSTED SPEED LIMIT. The cyclist continued on desperate for water. He even came across a snake. He was now fearing a heat stroke. He came to an abandoned grape juice factory and hung his head. The cyclist then was almost completely dehydrated from the long, tiring bike rid. The cyclist was sure he was going to die from dehydration or a heatstroke that this terrible ride had caused. He finally came to a shop a drank from the sink. So this ride was torturous due to the setting.",3,3,3,"ID3,ORG2,STY2"
15399,6,"The Empire State building is one of the tallest buildings ever built. It way because of this, that it was impossible for a blimp to dock on the mooring mast. The article by @ORGANIZATION1 titled ""The Mooring Mast"" describes well the problem blimps may have encountered. ""The greatest obstacle to the successful use of the mooring mast was nature itself. The wins on top of the building were constantly shifting due to violent air currents. Even if the dirigible were tethered to the mooring mast, the back of the ship would swivel around and around the mooring mast."" It's true, should a blimp try to moor there it would do nothing but twirl around the mooring mast. It could also crash into other buildings. It could tear up the mooring mast. There was so much the builders didn't look into.",2,2,2,"ID3,ORG3,STY2"
